Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude,Location
1319 Green,18009074.,Homrich,$11200.00,02/10/2016,No,6,42.306876,-83.116669,"1319 Green
(42.306876, -83.116669)"
14612 Terry,22042996.,Homrich,$17500.00,02/10/2016,No,1,42.396117,-83.191366,"14612 Terry
(42.396117, -83.191366)"
14845 Sussex,22046773.001,Homrich,$16300.00,02/10/2016,No,1,42.397525,-83.195185,"14845 Sussex
(42.397525, -83.195185)"
14850 Terry,22043010.,Homrich,$16900.00,02/10/2016,No,1,42.397671,-83.191433,"14850 Terry
(42.397671, -83.191433)"
15466 Cruse,22034167.,Homrich,$14300.00,02/10/2016,No,2,42.404791,-83.183196,"15466 Cruse
(42.404791, -83.183196)"
18444 Biltmore,22064080.,"Direct Construction Services, LLC",$6725.02,02/10/2016,No,2,42.425444,-83.21112,"18444 Biltmore
(42.425444, -83.21112)"
18900 Biltmore,22064089.016,"Direct Construction Services, LLC",$6457.39,02/10/2016,No,2,42.428535,-83.211313,"18900 Biltmore
(42.428535, -83.211313)"
12906 Montrose,22053027.,Homrich,$13700.00,02/17/2016,No,1,42.383893,-83.200066,"12906 Montrose
(42.383893, -83.200066)"
13993 Winthrop,22052425.,Homrich,$14700.00,02/17/2016,No,1,42.38841,-83.199533,"13993 Winthrop
(42.38841, -83.199533)"
14003 Winthrop,22052424.,Homrich,$23000.00,02/16/2016,No,1,42.388522,-83.199539,"14003 Winthrop
(42.388522, -83.199539)"
14011 Winthrop,22052423.,Homrich,$13400.00,02/16/2016,No,1,42.388635,-83.199544,"14011 Winthrop
(42.388635, -83.199544)"
14915 Forrer,22054479.,Homrich,$18200.00,02/17/2016,No,1,42.398282,-83.201892,"14915 Forrer
(42.398282, -83.201892)"
15075 SORRENTO,22024156.,Homrich,$14500.00,02/16/2016,No,2,42.40105,-83.172766,"15075 SORRENTO
(42.40105, -83.172766)"
13476 Arlington,09013597.,Able Demolition,$10100.00,02/17/2016,No,3,42.412706,-83.072683,"13476 Arlington
(42.412706, -83.072683)"
10254 Goodwin,05004883.,Rickman Enterprise Group,$9120.00,02/19/2016,No,5,42.392587,-83.075654,"10254 Goodwin
(42.392587, -83.075654)"
113 Collingwood,02001575.,Rickman Enterprise Group,$11860.00,02/18/2016,No,5,42.389291,-83.088604,"113 Collingwood
(42.389291, -83.088604)"
1438 Burlingame,06003105.,Rickman Enterprise Group,$8010.00,02/19/2016,No,5,42.387683,-83.10074,"1438 Burlingame
(42.387683, -83.10074)"
13247 Santa Rosa,16020772.,Able Demolition,$27935.00,02/15/2016,No,7,42.386149,-83.141992,"13247 Santa
(42.386149, -83.141992)"
14420 Saratoga,21019066.,Able Demolition,$21385.00,02/18/2016,No,4,42.432609,-82.974709,"14420 Saratoga
(42.432609, -82.974709)"
2512 Lakewood,21054562.,Able Demolition,$19960.00,02/10/2016,No,4,42.380507,-82.949964,"2512 Lakewood
(42.380507, -82.949964)"
1609 Lansing,16009802.,Homrich,$22000.00,02/11/2016,No,6,42.318092,-83.097911,"1609 Lansing
(42.318092, -83.097911)"
15095 Greenfield,22050859.,Homrich,$12300.00,02/17/2016,No,1,42.400295,-83.199149,"15095 Greenfield
(42.400295, -83.199149)"
18809 Lumpkin,09015412.,Homrich,$10900.00,02/18/2016,No,3,42.430703,-83.080644,"18809 Lumpkin
(42.430703, -83.080644)"
2565 Fischer,17006034-5,Homrich,$13200.00,02/16/2016,No,5,42.36512,-82.996342,"2565 Fischer
(42.36512, -82.996342)"
2650 Hunt,11001124.,Homrich,$16500.00,02/15/2016,No,5,42.351523,-83.030187,"2650 Hunt
(42.351523, -83.030187)"
4253 Lawton,12006421.002L,Homrich,$15200.00,02/15/2016,No,6,42.342003,-83.091823,"4253 Lawton
(42.342003, -83.091823)"
4625 Mt Elliott,13009832.,Homrich,$18200.00,02/16/2016,No,5,42.367581,-83.026239,"4625 Mt
(42.367581, -83.026239)"
4725 Tireman,16001952.,Able Demolition,$24130.00,02/19/2016,No,6,42.353416,-83.117699,"4725 Tireman
(42.353416, -83.117699)"
5092 Parker,17008883.,Homrich,$16800.00,02/17/2016,No,5,42.377676,-83.01225,"5092 Parker
(42.377676, -83.01225)"
5141 Fischer,17005862-3,Homrich,$19600.00,02/18/2016,No,5,42.380375,-83.007357,"5141 Fischer
(42.380375, -83.007357)"
5204 Cooper,19006388.,Homrich,$13900.00,02/18/2016,No,4,42.383738,-83.000209,"5204 Cooper
(42.383738, -83.000209)"
5532 Cadillac,19005118.,Homrich,$16900.00,02/18/2016,No,4,42.386683,-82.999322,"5532 Cadillac
(42.386683, -82.999322)"
5805 Pennsylvania,19005853.,Homrich,$11100.00,02/18/2016,No,4,42.38822,-83.002654,"5805 Pennsylvania
(42.38822, -83.002654)"
6591 Mcgraw,18003086.,Able Demolition,$24120.00,02/19/2016,No,6,42.33901,-83.131283,"6591 Mcgraw
(42.33901, -83.131283)"
7604 Dexter,12010373.,Able Demolition,$33619.60,02/18/2016,No,5,42.359847,-83.11027,"7604 Dexter
(42.359847, -83.11027)"
7614 Dexter,12010374.,Able Demolition,$25640.00,02/18/2016,No,5,42.359978,-83.110249,"7614 Dexter
(42.359978, -83.110249)"
8079 E Edsel Ford,17001110.,Homrich,$13500.00,02/17/2016,No,3,42.387375,-83.019025,"8079 E Edsel Ford
(42.387375, -83.019025)"
331 Melbourne,01002484.,Rickman Enterprise Group,$16020.00,02/15/2016,No,5,42.378273,-83.073072,"331 Melbourne
(42.378273, -83.073072)"
346 Leicester Ct,01002969.,Rickman Enterprise Group,$7350.00,02/16/2016,No,5,42.385349,-83.076485,"346 Leicester Ct
(42.385349, -83.076485)"
575 E Euclid,03002202.,Rickman Enterprise Group,$9200.00,02/15/2016,No,5,42.38006,-83.070948,"575 E Euclid
(42.38006, -83.070948)"
3004 Ashland,21062106.,Able Demolition,$22284.00,02/17/2016,No,4,42.385707,-82.947471,"3004 Ashland
(42.385707, -82.947471)"
5449 Daniels,18010863.,Able Demolition,$29041.00,02/19/2016,No,6,42.337835,-83.131385,"5449 Daniels
(42.337835, -83.131385)"
8541 Dexter,14006341.,Able Demolition,$32382.00,02/18/2016,No,5,42.365091,-83.114661,"8541 Dexter
(42.365091, -83.114661)"
2130 E Forest,09002363.,Able Demolition,$22140.00,02/15/2016,No,5,42.362229,-83.042134,"2130 E Forest
(42.362229, -83.042134)"
671 W Hollywood,01006689.,Able Demolition,$29746.00,02/15/2016,No,2,42.430269,-83.112313,"671 W Hollywood
(42.430269, -83.112313)"
962 Hague,05002871.,Rickman Enterprise Group,$8770.00,02/15/2016,No,5,42.382308,-83.068763,"962 Hague
(42.382308, -83.068763)"
974 Hague,05002869.,Rickman Enterprise Group,$8680.00,02/15/2016,No,5,42.382384,-83.068558,"974 Hague
(42.382384, -83.068558)"
1961 Dearing,09006184.,Able Demolition,$25819.00,02/15/2016,No,3,42.408894,-83.075611,"1961 Dearing
(42.408894, -83.075611)"
10083 Crocuslawn,18005975.,Homrich,$28900.00,02/23/2016,No,7,42.368104,-83.159971,"10083 Crocuslawn
(42.368104, -83.159971)"
11380 Montrose,22052956.,Homrich,$15100.00,02/24/2016,No,7,42.371341,-83.199556,"11380 Montrose
(42.371341, -83.199556)"
12130 Washburn,16038975.,Able Demolition,$29920.00,02/24/2016,No,7,42.37771,-83.159524,"12130 Washburn
(42.37771, -83.159524)"
